"label","Column1"
" математика "," АА=(αij) m×n и B=(bij) m×nАлгебраические функцииАрифметический корень n-ной степени из числа a≥0Арифметический корень второй степени числа a (a≥0) Арифметический корень третьей степени (кубический корень) ББазис векторного пространстваВВекторВерное неравенствоВзаимно обратные числаВизуализацияВнести под знак корняВозведение в степеньВыражение с переменнойВырожденная квадратная матрица АВычитаниеГГенеральная совокупностьГлавный принцип нахождения значения корнейГрадусная мера углаГруппировка множителейДДвузначные натуральные числаДействительные числаДелитель целого числа aДизъюнкция двух логических высказыванийДифференциальное уравнениеДробно рациональное равенствоДробное рациональное выражениеДробьЕЕдиничная окружностьЕдиничный отрезокЗЗнаменательЗначение выражения с переменными при выбранных значениях переменныхЗначение степени положительного числа a с иррациональным показателем (aа) Значение числового выраженияЗначения буквИИзвлечение корняИмпликация двух логических высказываний A и BИнтеграл дифференциального уравненияИнтегрирование дифференциального уравненияИррациональные выраженияИррациональные функцииИррациональные числаККвадратное неравенствоКоллинеарные векторыКомпланарные векторыКонъюнкция двух логических высказыванийКоординатная прямаяКоординатный лучКорень второй степени (квадратный корень) из числа aЛЛинейное неравенство с одной переменной xЛинейное уравнениеЛинейное уравнение с одной переменной xЛинии тригонометрических функцийЛучММетод ГауссаМетод интерваловМетод обратной матрицыМетод перебора миноровМногозначные натуральные числаННаибольшее значение функции y=f(x) на некотором промежутке xНаименьшее значение функции y=f(x) на некотором промежутке xНаименьшее общее кратное данных целых чиселНаименьший общий знаменатель алгебраических дробейНахождение ранга матрицы методом ГауссаНеотрицательные целые числаНеположительные целые числаНеравенстваНормальный вектор плоскостиНулевой векторНульООбласть значений функции y=f(x) Область ОДЗОбратный ход ГауссаОбщее кратное целых чиселОбщее решение ДУОбщий знаменатель алгебраической дробиОбыкновенная несократимая дробьОбыкновенная сократимая дробьОдна сотня (1 сотня) Однозначное натуральное числоОдночленыОпределенная СЛАУОртогональные векторыОсвободиться от иррациональности в знаменателе дробиПосмотреть еще 2 темППлоскостьПоворот фигурыПодобные члены многочленаПоложительное числоПоложительные целые числаПоложительные числаПопарно простые числаПриведение к общему знаменателюПриведение одночлена к стандартному видуПривести многочлен к стандартному видуПростые числаПрямая линияПрямой ход ГауссаРРавенствоРавносильное преобразование неравенстваРавносильные неравенстваРавносильные системы неравенствРавные n-векторыРазделить с остаткомРазложение векторовРазложение квадратного корня на множителиРазмерность n-вектораРазмерность векторного пространстваРазрядРазрядные слагаемыеРанг матрицыРаспределениеПосмотреть еще 12 темССистемы уравненийСовместная СЛАУСокращение алгебраической дробиСоставное числоСтепенное выражениеСтепень многочлена произвольного числаСтепень целого уравненияСтепень числа a с натуральным показателем nСтепень числа a с натуральным показателем z​​ТТеорема Кронеккера-КапеллиТождественно равные выраженияТождественное преобразование выраженияТождествоТочка перегибаТочка перегиба функцииТрансцендентные функцииТрехзначные натуральные числаТригонометрическое выражениеУУгловой коэффициент прямойУголУгол образованный двумя пересекающимися прямымиУменьшаемоеУмножить одно натуральное число на другоеУравнениеУравнение прямой на плоскости в прямоугольной системе координат OxyХХарактеристическое уравнение ЛНДУ n-ой степени с постоянными коэффициентамиЦЦелые выраженияЦелые рациональные выраженияЦентр поворотаЧЧастное решение ДУЧисловая функция с областью определения DЧисловой рядЭЭлементарные функции "
" математика "," Абсолютная величина вектора см Модуль вектора Абсцисса — этопервая координата вектора или точки в декартовой системе координат Алгебраическая кривая — это плоская кривая координаты точек которой удовлетворяют уравнению F(x у) = 0 где левая часть - многочлен  степень многочлена называется порядком алгебраической кривой Алгебраическое дополнение (Адьюнкта) некоторого элемента определителя — минор элемента взятый со своим знаком если сумма номеров строки и столбца на пересечении которых расположен элемент есть число четное и с обратным знаком если это число нечетное Обозначение  Aij - алгебраическое дополнение элемента aij Антикоммутативное свойство (Антикоммутативность) векторного произведения двух векторов  при перестановке сомножителей векторное произведение меняет знак на противоположный т е a x b = - b x a Аппликата — это третья координата вектора или точки в декартовой системе координат ББазис n-мерного векторного пространства (Базисные векторы) — совокупность n линейно независимых векторов этого пространства линейными комбинациями которых можно представить любой вектор пространства См Ортонормированный базис Базис на плоскости — это упорядоченная пара неколлинеарных векторов Базис трехмерного пространства (Базис в пространстве) — это упорядоченная тройка некомпланарных векторов Базисные векторы декартовой прямоугольной системы координат — единичные ортогональные векторы i j на плоскости и единичные попарно ортогональные векторы i j к в пространстве Базисные векторы см Базис n-мерного пространства Базисные неизвестные (Связанные неизвестные) в общем решении неопределенной системы линейных уравнений - неизвестные которые выражены как линейные функции других неизвестных называемых свободными  число базисных неизвестных равно числу линейно независимых уравнений системы Базисный минор — это минор порядок которого определяет ранг матрицы Большая ось эллипса — это длина хорды эллипса расположенная на фокальной оси эллипса Большая полуось эллипса — половина большой оси эллипса ВВектор (Векторная величина геометрический вектор) — направленный отрезок прямой Пояснение Вектор является величиной полностью определенной своим направлением и длиной Обозначение  a AB См Единичный нулевой свободный связанный вектор  коллинеарные компланарные линейно зависимые линейно независимые векторы Векторная алгебра — это раздел математики изучающий алгебраические операции над векторами Векторная величина см Вектор Векторное произведение двух векторов а и b — это вектор с определяемый следующими тремя условиями а) модуль вектора с численно равен площади параллелограмма построенного на векторах а и b как на сторонах т е |с| = |a|·|b|·sin φ где φ = ∠(a b)  б) вектор с ортогонален векторам a и b в) вектор с направлен так что векторы a b с образуют правую тройку Обозначения  a x b = с [a b] = с [ab] = с Векторно-скалярное произведение векторов см Смешанное произведение векторов Вектор-столбец — это запись вектора при которой его координаты располагаются вертикально Вектор-строка — это запись вектора при которой его координаты располагаются горизонтально Вырожденная матрица (Особая матрица) — квадратная матрица определитель которой равен нулю ГГеометрический вектор см Вектор Гипербола — это плоская кривая (алгебраическая кривая второго порядка) каноническое уравнение которой в декартовых координатах имеет вид x2/a2 - y2/b2 = ±1 См Равнобочная гипербола a bГиперболический параболоид — параболоид каноническое уравнение которой содержит одну переменную в первой степени а две переменные в квадрате при этом квадраты разного знака Гиперболический цилиндр — это цилиндрическая поверхность второго порядка направляющая которой является гиперболой Гиперболоид — это поверхность второго порядка каноническое уравнение которой содержит все три переменные в квадрате при этом некоторые квадраты положительны некоторые отрицательны Главная диагональ матрицы (Диагональ матрицы) — совокупность элементов a11 a22 ann квадратной матрицы порядка n т е элементов у которых совпадают номера строки и столбца Пояснение Главная диагональ идет из левого верхнего угла матрицы в правый нижний ее угол Главные направления квадратичной формы — это направления осей симметрии соответствующей кривой второго порядка  квадратичная форма имеет два главных направления Граничные точки отрезка см Концевые точки отрезка ДДвуполостный гиперболоид — это гиперболоид каноническое уравнение которой содержит все три переменные в квадрате при этом один квадрат положительный а два отрицательны Действительная ось гиперболы — это длина отрезка между вершинами гиперболы Действительная ось поверхности 2-го порядка — ось симметрии пересекающая поверхность Действительная полуось гиперболы — это половина действительной оси гиперболы Декартова прямоугольная система координат в пространстве — это система координат заданная тремя взаимно ортогональными единичными векторами называемыми ортами Декартова прямоугольная система координат на плоскости — это система координат заданная двумя взаимно ортогональными единичными векторами называемыми ортами Декартовы координаты вектора — это проекции вектора на оси координат декартовой системы координат Обозначение  ax ay az - координаты вектора a a = axi + ayj + azк = (ax ay az) Детерминант см Определитель Диагональная матрица — квадратная матрица у которой только элементы главной диагонали могут быть отличны от нуля Обозначение  Adg Диагональный элемент матрицы — элемент матрицы находящийся на главной диагонали Длина вектора см Модуль вектора ЕЕдиничная матрица — диагональная матрица все элементы главной диагонали которой равны единице Обозначение  E Единичный вектор — это вектор модуль которого равен единице Обозначение  a° е См Орт ИИсследование системы линейных уравнений заключается в ответе на два вопроса  1) является ли система совместной или несовместной  2) если система совместна то является ли она определенной или неопределенной ККанонический вид квадратичной формы — это вид квадратичной формы содержащей только квадраты переменных т е F(x y) = λ1x2 + λ2y2 Каноническое уравнение кривой 2-го порядка — это уравнение кривой в декартовых координатах в котором хотя бы одна переменная была в квадрате и система координат расположена определенным образом по отношению к к кривой (см соответствующую таблицу) Квадрант — это одна из четырех областей на которые плоскость делится двумя взаимно перпендикулярными прямыми Квадратичная форма — однородный многочлен второй степени в данном разделе содержит две переменные  F(x y) = a11x2 + 2a12xy + a22y2 Квадратная матрица — матрица число строк которой равно числу столбцов Коллинеарность векторов — свойство векторов быть коллинеарными Коллинеарные векторы — это векторы расположенные на одной прямой или на параллельных прямых Обозначение  a||b Компланарность — свойство векторов быть компланарными Компланарные векторы — это векторы расположенные в одной плоскости или в параллельных плоскостях Компонента см Координата Коническая поверхность (Конус) — это поверхность образованная прямой которая имеет неподвижную точку и перемещается по некоторой кривой  прямая называется образующей а кривая - направляющей Коническая поверхность 2-го порядка — это коническая поверхность каноническое уравнение которой содержит все переменные в квадрате есть квадраты положительные и отрицательные при этом их алгебраическая сумма равна нулю Коническое сечение см Кривая второго порядка Концевые точки отрезка (Граничные точки отрезка) — точки между которыми заключен отрезок прямой Координата (компонента составляющая) вектора в декартовой системе координат — это проекция вектора на соответствующую ось координат Обозначение координат вектора a  ax ay az Координатная плоскость — плоскость проходящая через две координатные оси из трех Координатное уравнение прямой или плоскости — это уравнение (или система уравнений) связывающее координаты текущей точки этой прямой или плоскости См Типы координатных уравнений в соответствующих таблицах Координатные оси (Оси координат) — числовые прямые имеющие общую нулевую точку (начало координат) Координаты точки — 1) числа определяющие положение точки на плоскости или в пространстве  2) координаты радиус-вектора этой точки Коэффициент — это числовой или постоянный множитель одночлена неизвестного переменной величины вектора строки матрицы и другие Кривая второго порядка (Линия второго порядка коническое сечение) — это алгебраическая кривая уравнение которой в декартовых координатах содержит одну или обе координаты в квадрате Кривая на плоскости см Линия на плоскости Круг — часть плоскости ограниченная окружностью Круговой цилиндр — это цилиндрическая поверхность второго порядка направляющая которой является окружностью Э"
" математика "," Левая тройка векторов — тройка векторов не являющаяся правой Линейная комбинация n векторов — сумма произведений этих векторов на произвольные скаляры (числа) называемые коэффициентами λ1a1 + λ2a2 + + λnanЛинейная комбинация κ строк матрицы A называется выражение составленное из к строк этой матрицы при помощи умножения на скаляры и сложения λ1a1 + λ2a2 + + λkak где a1 а2 ак - строки матрицы  λ1 λ2 λk - коэффициенты (скаляры) Линейно зависимые векторы — векторы линейная комбинация которых равна нулю если не все коэффициенты равны нулю Линейно зависимые строки матрицы — строки линейная комбинация которых равна нулевой строке если не все коэффициенты равны нулю Линейно независимые векторы — векторы линейная комбинация которых равна нулю только при условии когда все коэффициенты равны нулю Линейно независимые строки матрицы — строки линейная комбинация которых равна нулевой строке только при условии когда все коэффициенты равны нулю Линейные операции над векторами — это операции сложения векторов и умножения вектора на число Линейные операции над матрицами — это операции сложения матриц и умножения матрицы на число Линия на плоскости (Кривая на плоскости) — множество точек плоскости координаты которых удовлетворяют некоторому уравнению F(x y) = 0 ММалая ось эллипса — длина хорды эллипса расположенной на оси перпендикулярной фокальной оси эллипса Малая полуось эллипса — половина малой оси эллипса Матрица (Числовая матрица) — прямоугольная таблица чисел содержащая произвольное число строк и произвольное число столбцов Обозначение  A = (aij) или A = ||аij|| См Вырожденная диагональная единичная квадратная невырожденная обратная симметричная транспонированная треугольная матрица Матрица квадратичной формы — симметричная матрица составленная из коэффициентов квадратичной формы (см соответствующую таблицу) Матрица поворота к главным направлениям квадратичной формы (кривой второго порядка) — матрица элементами которой являются тригонометрические функции и которая находится по определенному правилу (см соответствующую таблицу) Матрица системы — матрица составленная из коэффициентов системы линейных уравнений Матрица-столбец (Столбцевая матрица) — матрица состоящая из одного столбца и имеющая размеры m х 1 Матрица-строка (Строчная матрица) — матрица состоящая из одной строки и имеющая размеры 1 х n Метод Гаусса — метод решения системы линейных алгебраических уравнений состоящий в том что расширенная матрица системы преобразуется элементарными преобразованиями над строками к треугольной диагональной или единичной матрице Метод координат — основной метод аналитической геометрии при котором исследование геометрических фигур сводится к исследованию связей между координатами точек этих фигур Минор k-го порядка матрицы A — определитель k-го порядка с элементами стоящими на пересечении любых k строк и любых k столбцов матрицы A Минор некоторого элемента определителя — определитель получаемый из данного определителя путем вычеркивания строки и столбца на пересечении которых расположен этот элемент Обозначение  Му - минор элемента ay Мнимая ось гиперболы — ось сопряженная действительной оси гиперболы Мнимая ось поверхности второго порядка — ось симметрии не пересекающая поверхность Мнимая полуось гиперболы — половина мнимой оси гиперболы Многогранник (Многогранная поверхность) — поверхность образованная из многоугольников (граней поверхности) так что каждая сторона любого из этих многоугольников (ребро поверхности) является стороной еще одного многоугольника Многоугольник — замкнутая ломаная линия на плоскости Модуль вектора (Длина вектора Абсолютная величина вектора) — число равное расстоянию между его началом и концом Обозначение  |а| |AB| ННаправляющая — см Коническая поверхность цилиндрическая поверхность Направляющий вектор прямой — любой ненулевой вектор параллельный этой прямой Обозначение  q = (l m) на плоскости q = (l m n) в пространстве Направляющий косинус вектора — косинус соответствующего направляющего угла Направляющий угол вектора — угол образуемый вектором и соответствующей осью координат декартовой системы Начало координат — точка пересечения координатных осей являющаяся началом отсчета Обозначение  O Невырожденная (неособенная) матрица — квадратная матрица определитель которой отличен от нуля Неизвестная величина см Неизвестное Неизвестное (Неизвестная величина) — величина значения которой подлежат определению Неоднородная система линейных уравнений — система линейных уравнений в которой не все свободные члены равны нулю Неопределенная система уравнений — система уравнений имеющая более одного решения Неособенная матрица см Невырожденная матрица Несовместная система уравнений — система уравнений не имеющая ни одного решения Пояснение Множество решений несовместной системы пусто Нетривиальное решение — решение однородного уравнения или системы однородных уравнений не являющееся нулевым решением Нецентральная кривая второго порядка — кривая второго порядка не имеющая центра симметрии  такой кривой является парабола Нормальный вектор плоскости — любой ненулевой вектор ортогональный этой плоскости Обозначение  n = (A B C) Нормальный вектор прямой на плоскости — любой ненулевой вектор ортогональный этой прямой Обозначение  n = (A B) Нулевая матрица — матрица все элементы которой равны нулю Нулевое решение см Тривиальное решение Нулевой вектор — вектор модуль которого равен нулю Пояснение Начало и конец нулевого вектора совпадают Обозначение  о ООбразующая - см Коническая поверхность Цилиндрическая поверхность Обратная матрица - матрица A-1 которая будучи умножена справа или слева на данную матрицу A дает единичную матрицу т е AA-1= A-1A = E Обозначение  A-1 Пояснение Данная матрица и обратная матрица перестановочны Общее решение системы линейных уравнений - 1) совокупность всех частных решений неопределенной системы  2) множество всех решений в котором базисные неизвестные выражаются через линейные комбинации свободных неизвестных Общее уравнение кривой второго порядка - уравнение второй степени содержащее квадратичную форму линейную часть и свободный член  a11x2 + 2a12xy + a22y2 + 2b1x + 2b2y + c = 0 Общее уравнение поверхности второго порядка - это уравнение вида a11x2 + a22y2 + a33z2 + 2a12xy + 2a13xz + 2a23yz + 2b1x +2b2y + 2b3z + c = 0 Объем тела - мера пространственных тел не меняющая своего значения при движении тела и равная единице на единичном кубе Однополостный гиперболоид - гиперболоид каноническое уравнение которой содержит все три переменные в квадрате при этом один из квадратов отрицательный Однородная система линейных уравнений - система линейных уравнений в которой все свободные члены равны нулю Однородное линейное уравнение - линейное уравнение в котором свободный член равен нулю Окружность - плоская кривая все точки которой находятся на данном расстоянии от фиксированной точки (центра окружности) Октант - одна из восьми областей на которые трехмерное пространство делится тремя взаимно перпендикулярными плоскостями Определенная система линейных уравнений - система линейных уравнений имеющая единственное решение Определитель (Детерминант) второго порядка - число равное произведению элементов на главной диагонали минус произведение элементов на побочной диагонали Определитель (Детерминант) третьего и высшего порядка - число равное сумме произведений элементов любой строки или столбца на их алгебраические дополнения Обозначения  |A| det A |aij| det(aij) Δ Определитель системы линейных уравнений - определитель матрицы системы линейных уравнений в которой число неизвестных равно числу уравнений Ордината - вторая координата вектора или точки в декартовой системе координат Ориентация векторов - взаимное расположение трех векторов в пространстве  три вектора могут быть с правой или левой ориентацией Такие векторы образуют правую или левую тройку векторов соответственно См Правая тройка векторов Орт - единичный вектор направление которого совпадает с направлением вектора а Обозначение  а0 Ортогональность - свойство векторов быть ортогональными Ортогональные векторы - 1) векторы угол между которыми является прямым  2) векторы скалярное произведение которых равно нулю Ортонормированный базис - базис векторного пространства образованный единичными попарно ортогональными векторами Оси координат см Координатные оси Особая матрица см Вырожденная матрица Острый угол между векторами - угол значение которого меньше 90° Ось - прямая на которой указаны начало отсчета единица и положительное направление Ось абсцисс (Ось х) - первая ось в декартовой системе координат на плоскости или в пространстве Ось аппликат (Ось z) - третья ось в декартовой системе координат в пространстве Ось ординат (Ось у) - вторая ось в декартовой системе координат на плоскости или в пространстве Ось симметрии - прямая относительно которой симметрично отображаются точки пространства плоскости или прямой Отрезок прямой (Отрезок) - часть прямой заключенная между двумя ее точками и включающая обе эти точки "
" математика "," Парабола - алгебраическая кривая второго порядка каноническое уравнение которой в декартовых координатах имеет вид  у2 =2px или x2 =2py Параболический цилиндр - цилиндрическая поверхность второго порядка направляющая которой является параболой Параболоид - поверхность второго порядка каноническое уравнение которой содержит две переменные в квадрате а одну - в первой степени Параллелепипед - призма основаниями которой являются параллелограммы Параллелограмм - плоский четырехугольник противоположные стороны которого попарно параллельны Параллельность - свойство прямых плоскостей прямой и плоскости быть параллельными Параллельный перенос (сдвиг) - перемещение фигуры при котором каждая точка перемещается на один и тот же вектор Параллельный перенос осей координат - переход к новой системе координат при котором меняется положение начала координат а направление осей координат и масштаб остаются неизменными Параллельный сдвиг см Параллельный перенос Перестановочные матрицы - матрицы А и B если АВ = ВА Пирамида - многогранник одной их граней которого является многоугольник (обычно это основание) а остальные грани - треугольники с общей вершиной Площадь плоской фигуры - неотрицательная функция геометрической фигуры на плоскости сохраняющая свое значение при движениях и удовлетворяющая условию что единичный квадрат имеет площадь равную единице Побочная диагональ матрицы - совокупность элементов квадратной матрицы порядка n  a1n a2 n-1 a3 n-2 an1 т е элементов у которых сумма индексов на единицу больше порядка матрицы Пояснение Побочная диагональ идет из левого нижнего угла матрицы в правый верхний угол Поверхность - множество точек в трехмерном пространстве координаты которых удовлетворяют уравнению вида F(x у z) = 0 (в неявной форме) или вида z = f(x у) (в явной форме) Поверхность второго порядка - геометрическое место точек (множество точек) координаты которых удовлетворяют уравнению второй степени относительно трех переменных Поворот осей координат - преобразование координат при котором обе оси поворачиваются на один и тот же угол а начало координат и масштаб остаются неизменными Подматрица - матрица полученная из данной матрицы путем удаления некоторых строк и/или столбцов Полный угол - угол равный 360º Порядок матрицы - число строк или столбцов квадратной матрицы Порядок определителя - число строк или столбцов определителя Правая (Правоориентированная) тройка векторов - три некомпланарных вектора удовлетворяющих условиям  1) они упорядочены и третий вектор направлен по направлению осевого движения правого винта при повороте по наименьшему углу от первого вектора ко второму  2) они упорядочены и наблюдателю находящемуся внутри телесного угла образованного этими векторами кратчайшие повороты от первого вектора ко второму и от второго к третьему кажутся происходящими против часовой стрелки  3) они упорядочены и из конца третьего вектора кратчайший поворот от первого вектора ко второму виден совершающимся против часовой стрелки Пояснение Приведены три равносильных условия (определения) правой тройки векторов Правило Крамера (Формулы Крамера) - правило нахождения решения системы n линейных уравнений с n неизвестными с помощью определителей Правило параллелограмма - графическое правило образования суммы двух векторов Правило треугольника - графическое правило образования суммы двух векторов Правило треугольников вычисления определителей третьего порядка - схематическое правило вычисления определителей третьего порядка Преобразование координатного базиса (координат) - переход от одной системы координат к другой например поворот осей координат и параллельный перенос осей координат Призма - многогранник две грани (основания) которого - равные многоугольники лежащие в параллельных плоскостях а остальные грани (боковые грани) - параллелограммы Присоединенная матрица (Союзная матрица) к квадратной матрице A = (aij) - матрица Ã= (Aij) полученная транспонированием матрицы составленной из алгебраических дополнений Aij к элементам aij Проекция вектора на вектор - число равное модулю вектора проекция которого находится умноженному на косинус угла между векторами Произведение вектора а на скаляр (число) λ - вектор обозначаемый λа такой что  а) его модуль равен произведению модулей исходного вектора и скаляра т е |Ха| = |Х|·|а|  б) новый вектор и исходный вектор коллинеарны т е а || λа  в) векторы а и λа сонаправлены если λ > 0 и противоположно направлены если λ < 0 Произведение двух матриц с согласованными размерами - матрица каждый элемент которой равен произведению соответствующей строки первой матрицы на соответствующий столбец второй матрицы Произведение матрицы на число (числа на матрицу) - матрица с теми же размерами каждый элемент которой получен умножением соответствующего элемента исходной матрицы на это число Произведение строки на столбец имеющих одинаковое число элементов равно числу полученному суммированием произведений их элементов с одинаковыми номерами Противоположные векторы - два коллинеарных вектора имеющих одинаковые модули и противоположные направления Обозначение вектора противоположного вектору a  - а Прямой угол - угол равный своему смежному углу  в градусной мере равен 90° в радианной мере π/2 Прямоугольные декартовы координаты - координаты базис которых состоит из попарно ортогональных единичных векторов РРавнобочная гипербола (Равносторонняя гипербола) - гипербола действительная и мнимая оси которой равны Равносильные (Эквивалентные) системы линейных уравнений - системы линейных уравнений с одинаковым числом неизвестных если системы имеют одно и то же решение Равносильные уравнения - уравнения с одними и теми же неизвестными множества решений которых совпадают Равные векторы - векторы являющиеся коллинеарными одинаково направленными и имеющие равные модули Равные матрицы - матрицы равны если они имеют одинаковые размеры и равны их элементы стоящие на одинаковых местах Обозначение  A = B Радиус окружности - расстояние между центром и любой точкой этой окружности Радиус-вектор точки P - вектор OP начало которого находится в начале координат O а конец - в рассматриваемой точке P Развернутый угол - угол стороны которого составляют одну прямую  в градусной мере равен 180° в радианной мере n Размеры матрицы - число строк и число столбцов матрицы обозначаемые mxn (читается  m на n) Разность двух матриц см Сумма двух матриц Ранг матрицы - наибольший порядок минора матрицы отличного от нуля Обозначение  r r(A) rang A Расширенная матрица системы линейных уравнений - матрица системы дополненная справа столбцом свободных членов Обозначение  A\B Решение системы линейных уравнений - совокупность значений неизвестных обращающих одновременно все уравнения рассматриваемой системы в тождества Примечание Решением называют также процесс нахождения этих значений "
