"label","Column1"
" математика "," p-доминантное равновесие в задаче стимулирования в активной системе с распределенным контролем "
" математика "," Метод расщепления в задаче мезометеорологии ольшинство используемых моделей динамики атмосферы и распространения примесей включает в себя уравнения типа Навье-Стокса и уравнения конвекции-диффузии «Гидродинамическая» составляющая решаемой задачи описывается в общем виде уравнениями Навье- Стокса: "
" математика "," Трассировка в канале методом муравьиной колонии В работе предлагаются новые технологии принципы и механизмы решения задачи канальной трассировки основанные на моделировании процессов адаптивного поведения муравьиной колонии Предложенный подход полностью применим для бессеточной трассировки соединений разной ширины По сравнению с существующими алгоритмами достигнуто улучшение результатов канальная трассировка / муравьиная колония / оптимизация / chanel routing / unt colony / optimization "
" математика "," Использование наблюдателя состояния в задачах гидролокации В работе рассмотрен подход использования наблюдателя состояния для аналитического синтеза системы управления и обработки информации в прикладных задачах гидролокации наблюдатель состояния / нелинейная акустика / синергетика / state observer / nonlinear acoustics / synergetics "
" математика "," К вопросу о применении генетических методов для решения задач поддержки жизненного цикла электрооборудования Рассмотрена возможность применения теории генетических алгоритмов для решения задач поддержки жизненного цикла электрооборудования в целях улучшения технико-экономических показателей его эксплуатации поддержка жизненного цикла / электрооборудование / надежность / генетические алгоритмы "
" математика "," Конструирование баргмановских гамильтонианов матричного уравнения Шредингера Предложен способ построения баргмановских гамильтонианов матричного уравнения Шредингера и решения этого уравнения основанный на свойствах характеристической функции Его можно использовать для решения многих задач квантовой физики и теории солитонов "
" математика "," Экономико-математические модели управления взаимодействием в одноуровневой организационно экономической системе и перспективные направления разработки инструментария Рассматривается задача управления одноуровневой системой для случаев трансферабельной и нетрансферабельной полезности Приводятся реальные примеры одноуровневых организационно-экономических систем а также интерфейс программы согласования взаимодействия одноуровневая система / согласованное взаимодействие / область компромисса / комбинированная система стимулирования / механизм управления взаимодействием "
" математика "," Абелевы группы как артиновы или нетеровы модули над кольцами эндоморфизмов Описаны абелевы группы A и B такие что группа гомоморфизмов Hom(A B) является артиновым модулем над кольцом эндоморфизмов группы B Описание групп A и B для которых группа Hom(A B) является артиновым модулем над кольцом эндоморфизмов группы A сведена к случаю когда группа A не имеет кручения а группа B либо квазициклическая группа либо делимая группа без кручения Охарактеризованы абелевы группы A и B для которых группа Hom(A B) есть нётеров модуль над кольцом E(A) или E(B) Исследование произвольной абелевой группы с нётеровым слева кольцом эндоморфизмов сведено к исследованию группы без кручения с нётеровым слева кольцом эндоморфизмов Исследование группы с нётеровым справа кольцом эндоморфизмов осталось незавершённым Описаны сепарабельные абелевы группы без кручения с нётеровыми слева или справа кольцами эндоморфизмов "
" математика "," Об опыте использования пакета MathCAD 2000 в инженерных расчётах Более сложную задачу представляет передача данных (массивов матриц) из пакета Mathematica в MathCAD Excel Дело в том что при записи данных в файл Mathematica не создаёт чистый текстовый файл а пишет в файл кроме числовых значений ряд своих символов ( и \n) Созданные Matematicой файлы нельзя будет считать с помощью MathCAD и Excel Наиболее приемлемый для дальнейшего чтения файл создаётся конструкцией "
" математика "," Адаптивный алгоритм разнесения соединений по слоям При двухслойной трассировке СБИС обычно реализуется следующий подход Вначале одним из алгоритмов трассировки разрабатывается совмещенный эскиз трассировки межсоединений удовлетворяющий следующим ограничениям: не допускаются наложения цепей друг на друга; отсутствуют точки касания цепей; в одной точке пересекаются не более двух цепей "
